iter	Passed	Remaining
937	13284	878
938	13298	863
939	13313	849
940	13327	835
941	13341	821
942	13355	807
943	13370	793
944	13384	779
945	13399	764
946	13414	750
947	13428	736
948	13443	722
949	13457	708
950	13472	694
951	13487	680
952	13501	665
953	13515	651
954	13530	637
955	13544	623
956	13559	609
957	13573	595
958	13587	580
959	13601	566
960	13615	552
961	13630	538
962	13644	524
963	13658	510
964	13673	495
965	13687	481
966	13700	467
967	13715	453
968	13728	439
969	13743	425
970	13756	410
971	13771	396
972	13784	382
973	13797	368
974	13811	354
975	13825	339
976	13839	325
977	13853	311
978	13867	297
979	13881	283
980	13895	269
981	13909	254
982	13923	240
983	13937	226
984	13951	212
985	13965	198
986	13978	184
987	13991	169
988	14005	155
989	14019	141
990	14034	127
991	14048	113
992	14062	99
993	14076	84
994	14090	70
995	14104	56
996	14119	42
997	14133	28
998	14147	14
999	14161	0
